,keys,CPI,CPI_E,SP500,NASDAQ
1006,2013-11-01,234.21,163.66,1762.74999967,3902.83666967
1007,2014-02-01,235.621,163.979,1834.92667633,4256.30338533
1008,2011-10-01,226.75,157.065,1221.17334,2613.37337233
1009,2012-04-01,229.286,157.378,1375.51330567,3027.78002933
1010,2009-08-01,215.445,155.574,1007.543335,1997.86332233
1011,2014-08-01,237.163,165.932,1920.466634,4353.639974
1012,2007-03-01,205.288,147.279,1435.230021,2452.19661467
1013,2010-01-01,217.488,153.411,1115.42667633,2254.07999667
1014,2010-01-01,217.488,153.411,1115.42667633,2254.07999667
1015,2012-08-01,229.844,161.244,1377.103312,2932.62662767
1016,2010-12-01,220.472,156.175,1233.893351,2621.123291
1017,2011-11-01,227.169,155.496,1250.76000933,2674.699951
1018,2010-09-01,218.275,156.636,1125.10664867,2306.726725
1019,2014-05-01,236.803,164.717,1877.439982,4063.680013
1020,2010-06-01,217.199,156.466,1116.05334467,2307.62996433
1021,2015-07-01,237.734,168.777,2119.443278,5157.42008467
1022,2008-08-01,218.69,151.822,1280.704004,2377.8359866
1023,2013-04-01,231.856,159.256,1555.64998333,3215.813395
1024,2014-04-01,236.495,165.024,1863.5800175,4090.875
1025,2007-07-01,207.603,146.826,1523.23335767,2644.63330067
1026,2009-06-01,214.79,153.013,905.647998,1798.2419922
1027,2011-06-01,224.806,157.685,1308.8980226,2749.5260254
1028,2014-06-01,237.016,165.117,1959.23665367,4385.57991567
1029,2009-09-01,215.861,154.168,1067.516683,2130.920003
1030,2008-08-01,218.69,151.822,1277.0939696,2356.7180664
1031,2011-05-01,224.806,157.739,1325.753296,2780.38663733
1032,2010-12-01,220.472,156.175,1240.670003,2632.50000033
1033,2008-08-01,218.69,151.822,1294.3739746,2441.0740234
1034,2010-12-01,220.472,156.175,1254.3224795,2663.562561
1035,2013-07-01,232.749,162.398,1684.226001,3602.9760252
1036,2006-12-01,203.1,145.7,1398.939982,2425.73665367
1037,2013-11-01,234.21,163.66,1760.49670433,3924.12337233
1038,2010-08-01,217.923,157.372,1124.896688,2295.033366
1039,2013-10-01,233.799,161.667,1733.06335433,3872.286621
1040,2008-11-01,213.153,152.615,786.350016,1362.29667167
1041,2009-07-01,214.726,153.606,969.873331667,1955.313314
1042,2006-03-01,199.7,139.6,1289.20332833,2309.45003267
1043,2006-12-01,203.1,145.7,1410.01000967,2436.97005167
1044,2009-01-01,211.933,152.84,902.243326667,1595.88667833
1045,2014-12-01,236.464,164.586,2084.273275,4781.91666667
1046,2015-08-01,237.703,168.727,2086.993327,5042.06347667
1047,2009-01-01,211.933,152.84,833.230000667,1483.283325
1048,2012-01-01,227.86,159.002,1312.64001467,2781.57999667
1049,2006-04-01,200.7,140.0,1308.57999667,2333.716634
1050,2011-02-01,221.898,156.882,1339.92000333,2830.36336267
1051,2010-11-01,219.59,155.761,1210.48665367,2550.83667
1052,2012-03-01,228.894,157.287,1405.76334633,3097.296712
1053,2010-08-01,217.923,157.372,1082.6800048,2193.143994
1054,2008-01-01,212.174,149.404,1340.42663567,2334.50992833
1055,2009-05-01,213.022,149.799,906.343343333,1752.39998367
1056,2009-12-01,217.347,153.725,1105.04667133,2184.17334
1057,2007-04-01,205.904,148.053,1475.85998533,2514.079997
1058,2010-02-01,217.281,153.701,1074.036662,2169.60335267
1059,2008-12-01,211.398,152.546,868.036661667,1525.56001767
1060,2008-02-01,212.687,149.38,1351.89001433,2310.07674167
1061,2015-03-01,235.859,168.106,2090.27669267,4959.106771
1062,2014-03-01,235.897,164.024,1851.889974,4276.38330067
1063,2006-03-01,199.7,139.6,1305.199992,2305.96004233
1064,2010-09-01,218.275,156.636,1135.92667633,2347.61669933
1065,2012-02-01,228.377,157.399,1348.183309,2915.65665667
1066,2011-02-01,221.898,156.882,1307.33333333,2757.579997
1067,2007-12-01,211.445,148.62,1465.85998533,2644.62003567
1068,2013-12-01,234.847,163.864,1812.85664867,4077.64672867
1069,2014-09-01,237.51,164.893,2007.77665167,4578.470052
1070,2008-06-01,217.463,149.658,1294.5,2346.08667
1071,2010-09-01,218.275,156.636,1135.92667633,2347.61669933
1072,2013-12-01,234.847,163.864,1836.182495,4157.022461
1073,2008-06-01,217.463,149.658,1294.5,2346.08667
1074,2011-12-01,227.223,156.006,1265.380005,2621.919922
1075,2013-02-01,233.005,160.993,1504.41333,3154.51334667
1076,2011-11-01,227.169,155.496,1244.21663433,2641.84993467
1077,2011-09-01,226.597,157.549,1179.583333,2515.356608
1078,2010-12-01,220.472,156.175,1217.43664533,2573.41333033
1079,2015-08-01,237.703,168.727,1972.34667967,4779.52327467
1080,2009-03-01,212.495,153.608,692.933329333,1315.726644
1081,2014-05-01,236.803,164.717,1882.92334,4121.970052
1082,2011-04-01,224.093,155.909,1333.869995,2811.334961
1083,2011-01-01,221.187,156.677,1281.84334333,2706.39672833
1084,2007-10-01,209.19,148.219,1559.560018,2796.49666333
1085,2013-08-01,233.249,162.856,1696.8640136,3668.392041
1086,2013-05-01,231.895,160.51,1631.01997867,3419.67334
1087,2008-05-01,215.208,149.781,1392.843343,2445.08333333
1088,2011-09-01,226.597,157.549,1147.626709,2462.57999667
1089,2012-05-01,228.722,158.141,1308.293335,2822.17333967
1090,2006-02-01,199.4,139.0,1272.44331867,2284.90340167
1091,2014-08-01,237.163,165.932,1989.093343,4532.37662767
1092,2009-10-01,216.509,153.445,1092.086711,2167.44002267
1093,2009-10-01,216.509,153.445,1037.37996433,2076.00333633
1094,2013-06-01,232.357,161.467,1607.57999667,3393.77669267
1095,2009-09-01,215.861,154.168,1040.07999667,2075.10327167
1096,2015-09-01,237.489,168.254,1981.180013,4870.14013633
1097,2010-04-01,217.403,153.973,1173.765015,2400.2700195
1098,2006-09-01,202.8,143.0,1306.733317,2187.54663067
1099,2006-04-01,200.7,140.0,1288.619995,2320.3950195
1100,2010-10-01,219.035,156.014,1183.16333,2506.01334633
